2020-12-02 11:37:34 |INFO  |main |StartupInfoLogger.java:55 |com.woniu.mymall.MymallApplicationTests |Starting MymallApplicationTests using Java 1.8.0_45 on DESKTOP-MPPORRH with PID 6724 (started by xiakai in D:\ideaprojects\springboot_k15\mymall)
2020-12-02 11:37:34 |INFO  |main |SpringApplication.java:664 |com.woniu.mymall.MymallApplicationTests |The following profiles are active: dev
2020-12-02 11:37:41 |INFO  |main |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-02 11:37:42 |INFO  |main |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-02 11:37:43 |INFO  |main |DocumentationPluginsBootstrapper.java:160 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-12-02 11:37:43 |INFO  |main |DocumentationPluginsBootstrapper.java:163 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2020-12-02 11:37:43 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-12-02 11:37:44 |INFO  |main |StartupInfoLogger.java:61 |com.woniu.mymall.MymallApplicationTests |Started MymallApplicationTests in 12.487 seconds (JVM running for 18.077)
2020-12-02 11:37:45 |INFO  |main |DruidDataSource.java:983 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} inited
2020-12-02 11:37:45 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:218 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2020-12-02 11:37:45 |INFO  |SpringContextShutdownHook |DruidDataSource.java:2024 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} closing ...
2020-12-02 11:37:45 |INFO  |SpringContextShutdownHook |DruidDataSource.java:2096 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} closed
2020-12-02 11:38:19 |INFO  |main |StartupInfoLogger.java:55 |com.woniu.mymall.MymallApplicationTests |Starting MymallApplicationTests using Java 1.8.0_45 on DESKTOP-MPPORRH with PID 8100 (started by xiakai in D:\ideaprojects\springboot_k15\mymall)
2020-12-02 11:38:19 |INFO  |main |SpringApplication.java:664 |com.woniu.mymall.MymallApplicationTests |The following profiles are active: dev
2020-12-02 11:38:22 |INFO  |main |DruidDataSource.java:2024 |com.alibaba.druid.pool.DruidDataSource |{dataSource-0} closing ...
2020-12-02 11:38:22 |INFO  |main |ConditionEvaluationReportLoggingListener.java:136 |org.springframework.boot.autoconfigure.logging.ConditionEvaluationReportLoggingListener |

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-12-02 11:39:41 |INFO  |main |StartupInfoLogger.java:55 |com.woniu.mymall.MymallApplicationTests |Starting MymallApplicationTests using Java 1.8.0_45 on DESKTOP-MPPORRH with PID 2404 (started by xiakai in D:\ideaprojects\springboot_k15\mymall)
2020-12-02 11:39:41 |INFO  |main |SpringApplication.java:664 |com.woniu.mymall.MymallApplicationTests |The following profiles are active: dev
2020-12-02 11:39:46 |INFO  |main |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-02 11:39:47 |INFO  |main |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-02 11:39:47 |INFO  |main |DocumentationPluginsBootstrapper.java:160 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
